Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),Month,Time
2019-08-03 00:00,16.3,14.5,89.0,29.0,6.0,100.63,8,0.0
2019-08-03 01:00,14.9,11.7,81.0,33.0,10.0,100.58,8,1.0
2019-08-03 02:00,14.0,13.2,95.0,34.0,9.0,100.58,8,2.0
2019-08-03 03:00,16.7,9.8,64.0,24.0,6.0,100.54,8,3.0
2019-08-03 04:00,14.8,11.0,78.0,21.0,5.0,100.55,8,4.0
2019-08-03 05:00,14.4,13.6,95.0,30.0,2.0,100.58,8,5.0
2019-08-03 06:00,14.4,14.4,100.0,30.0,5.0,100.6,8,6.0
2019-08-03 07:00,18.9,14.0,73.0,20.0,1.0,100.61,8,7.0
2019-08-03 08:00,20.8,14.2,66.0,22.0,7.0,100.57,8,8.0
2019-08-03 09:00,23.1,13.9,56.0,23.0,7.0,100.55,8,9.0
2019-08-03 10:00,24.5,13.7,51.0,20.0,13.0,100.5,8,10.0
2019-08-03 11:00,24.4,15.4,57.0,18.0,20.0,100.45,8,11.0
2019-08-03 12:00,25.1,15.2,54.0,18.0,24.0,100.41,8,12.0
2019-08-03 13:00,25.3,16.2,57.0,19.0,27.0,100.35,8,13.0
2019-08-03 14:00,25.7,17.2,59.0,19.0,28.0,100.27,8,14.0
2019-08-03 15:00,26.8,17.8,58.0,20.0,24.0,100.2,8,15.0
2019-08-03 16:00,27.0,18.4,59.0,20.0,22.0,100.18,8,16.0
2019-08-03 17:00,20.3,20.3,100.0,35.0,13.0,100.27,8,17.0
2019-08-03 18:00,20.9,20.8,100.0,33.0,18.0,100.28,8,18.0
2019-08-03 19:00,20.8,20.8,100.0,0.0,1.0,100.25,8,19.0
2019-08-03 20:00,20.4,20.4,100.0,31.0,3.0,100.29,8,20.0
2019-08-03 21:00,20.0,20.0,100.0,31.0,4.0,100.33,8,21.0
2019-08-03 22:00,20.0,20.0,100.0,32.0,5.0,100.32,8,22.0
2019-08-03 23:00,20.5,20.5,100.0,33.0,13.0,100.32,8,23.0
2019-08-04 00:00,19.9,19.9,100.0,33.0,9.0,100.33,8,0.0
2019-08-04 01:00,20.0,19.4,96.0,36.0,14.0,100.34,8,1.0
2019-08-04 02:00,19.1,15.2,78.0,1.0,16.0,100.36,8,2.0
2019-08-04 03:00,18.3,12.6,69.0,1.0,15.0,100.4,8,3.0
2019-08-04 04:00,17.6,11.4,67.0,36.0,10.0,100.4,8,4.0
2019-08-04 05:00,17.4,10.9,65.0,1.0,13.0,100.41,8,5.0
2019-08-04 06:00,17.1,10.8,67.0,1.0,15.0,100.48,8,6.0
2019-08-04 07:00,17.3,10.8,66.0,1.0,14.0,100.49,8,7.0
2019-08-04 08:00,19.6,11.5,59.0,2.0,16.0,100.51,8,8.0
2019-08-04 09:00,20.8,10.9,53.0,2.0,14.0,100.55,8,9.0
2019-08-04 10:00,21.4,9.6,47.0,2.0,13.0,100.55,8,10.0
2019-08-04 11:00,22.2,8.4,41.0,1.0,16.0,100.56,8,11.0
2019-08-04 12:00,22.8,6.9,36.0,36.0,13.0,100.52,8,12.0
2019-08-04 13:00,23.2,7.6,37.0,34.0,9.0,100.48,8,13.0
2019-08-04 14:00,24.0,8.2,37.0,29.0,7.0,100.46,8,14.0
2019-08-04 15:00,24.7,8.2,35.0,29.0,8.0,100.43,8,15.0
2019-08-04 16:00,24.9,9.8,38.0,24.0,7.0,100.39,8,16.0
2019-08-04 17:00,23.5,11.2,46.0,18.0,12.0,100.4,8,17.0
2019-08-04 18:00,23.1,11.5,48.0,20.0,15.0,100.39,8,18.0
2019-08-04 19:00,21.3,13.3,60.0,21.0,10.0,100.4,8,19.0
2019-08-04 20:00,20.2,14.2,68.0,20.0,9.0,100.4,8,20.0
2019-08-04 21:00,19.7,14.6,72.0,22.0,11.0,100.43,8,21.0
2019-08-04 22:00,19.5,14.6,73.0,21.0,12.0,100.42,8,22.0
2019-08-04 23:00,16.8,15.7,94.0,35.0,8.0,100.48,8,23.0
2019-08-05 00:00,15.5,15.5,100.0,33.0,2.0,100.49,8,0.0
2019-08-05 01:00,15.1,15.1,100.0,6.0,3.0,100.49,8,1.0
2019-08-05 02:00,13.3,13.3,100.0,33.0,7.0,100.46,8,2.0
2019-08-05 03:00,13.2,13.1,100.0,34.0,4.0,100.47,8,3.0
2019-08-05 04:00,12.1,12.1,100.0,35.0,5.0,100.47,8,4.0
2019-08-05 05:00,12.1,12.1,100.0,36.0,4.0,100.44,8,5.0
2019-08-05 06:00,13.9,13.9,100.0,35.0,6.0,100.45,8,6.0
2019-08-05 07:00,19.7,19.6,99.0,1.0,2.0,100.47,8,7.0
2019-08-05 08:00,21.7,17.9,79.0,23.0,9.0,100.47,8,8.0
2019-08-05 09:00,23.5,17.0,67.0,24.0,13.0,100.48,8,9.0
2019-08-05 10:00,23.7,15.9,62.0,19.0,25.0,100.47,8,10.0
2019-08-05 11:00,24.1,14.7,56.0,18.0,25.0,100.45,8,11.0
2019-08-05 12:00,24.6,14.1,52.0,19.0,25.0,100.39,8,12.0
2019-08-05 13:00,24.7,13.7,51.0,19.0,27.0,100.35,8,13.0
2019-08-05 14:00,25.0,13.8,50.0,19.0,26.0,100.34,8,14.0
2019-08-05 15:00,25.1,13.7,49.0,18.0,24.0,100.26,8,15.0
2019-08-05 16:00,25.1,13.5,49.0,19.0,23.0,100.18,8,16.0
2019-08-05 17:00,24.9,14.8,54.0,18.0,18.0,100.14,8,17.0
2019-08-05 18:00,24.3,15.6,58.0,17.0,18.0,100.07,8,18.0
2019-08-05 19:00,23.5,16.5,65.0,18.0,15.0,100.06,8,19.0
2019-08-05 20:00,23.1,17.4,70.0,17.0,15.0,100.05,8,20.0
2019-08-05 21:00,23.2,18.3,74.0,17.0,15.0,100.07,8,21.0
2019-08-05 22:00,22.9,19.1,79.0,17.0,11.0,100.06,8,22.0
2019-08-05 23:00,23.4,17.7,70.0,17.0,13.0,100.01,8,23.0
2019-08-06 00:00,23.5,18.6,74.0,16.0,16.0,99.96,8,0.0
2019-08-06 01:00,23.2,17.3,69.0,17.0,21.0,99.9,8,1.0
2019-08-06 02:00,23.0,18.6,77.0,18.0,21.0,99.83,8,2.0
2019-08-06 03:00,23.0,17.7,72.0,19.0,24.0,99.8,8,3.0
2019-08-06 04:00,22.5,19.9,85.0,19.0,17.0,99.77,8,4.0
2019-08-06 05:00,22.4,21.2,93.0,20.0,14.0,99.79,8,5.0
2019-08-06 06:00,22.8,22.3,97.0,19.0,20.0,99.79,8,6.0
2019-08-06 07:00,23.4,22.8,97.0,19.0,19.0,99.8,8,7.0
2019-08-06 08:00,24.0,22.2,90.0,19.0,18.0,99.8,8,8.0
2019-08-06 09:00,24.6,22.5,88.0,18.0,21.0,99.78,8,9.0
2019-08-06 10:00,24.4,22.1,87.0,18.0,22.0,99.76,8,10.0
2019-08-06 11:00,25.4,21.9,81.0,17.0,21.0,99.71,8,11.0
2019-08-06 12:00,25.8,22.0,80.0,17.0,25.0,99.61,8,12.0
2019-08-06 13:00,21.3,17.6,79.0,27.0,32.0,99.77,8,13.0
2019-08-06 14:00,20.6,20.6,100.0,20.0,5.0,99.64,8,14.0
2019-08-06 15:00,21.7,21.5,99.0,18.0,5.0,99.64,8,15.0
2019-08-06 16:00,22.5,21.4,93.0,18.0,12.0,99.59,8,16.0
2019-08-06 17:00,22.7,22.2,97.0,20.0,14.0,99.6,8,17.0
2019-08-06 18:00,22.6,20.7,89.0,20.0,15.0,99.59,8,18.0
2019-08-06 19:00,22.4,20.9,91.0,21.0,12.0,99.63,8,19.0
2019-08-06 20:00,22.3,21.9,97.0,22.0,11.0,99.65,8,20.0
2019-08-06 21:00,22.4,22.4,100.0,21.0,10.0,99.65,8,21.0
2019-08-06 22:00,22.6,22.6,100.0,21.0,13.0,99.66,8,22.0
2019-08-06 23:00,22.4,22.4,100.0,23.0,12.0,99.66,8,23.0
2019-08-07 00:00,21.4,21.4,100.0,27.0,9.0,99.63,8,0.0
2019-08-07 01:00,20.8,20.8,100.0,26.0,8.0,99.65,8,1.0
2019-08-07 02:00,20.5,20.5,100.0,26.0,6.0,99.67,8,2.0
2019-08-07 03:00,20.2,20.2,100.0,25.0,3.0,99.67,8,3.0
2019-08-07 04:00,20.9,20.9,100.0,24.0,6.0,99.67,8,4.0
2019-08-07 05:00,21.1,21.0,100.0,24.0,7.0,99.7,8,5.0
2019-08-07 06:00,21.0,21.0,100.0,29.0,4.0,99.72,8,6.0
2019-08-07 07:00,21.2,21.2,100.0,28.0,2.0,99.74,8,7.0
2019-08-07 08:00,21.2,21.2,100.0,32.0,4.0,99.73,8,8.0
2019-08-07 09:00,21.6,21.6,100.0,32.0,3.0,99.74,8,9.0
2019-08-07 10:00,22.3,22.3,100.0,35.0,3.0,99.72,8,10.0
2019-08-07 11:00,22.0,22.0,100.0,20.0,3.0,99.72,8,11.0
2019-08-07 12:00,20.4,20.4,100.0,31.0,6.0,99.71,8,12.0
2019-08-07 13:00,21.3,21.2,100.0,28.0,7.0,99.71,8,13.0
2019-08-07 14:00,21.3,21.3,100.0,26.0,8.0,99.68,8,14.0
2019-08-07 15:00,22.0,20.2,90.0,1.0,1.0,99.57,8,15.0
2019-08-07 16:00,22.9,19.2,80.0,10.0,1.0,99.56,8,16.0
2019-08-07 17:00,22.3,21.6,96.0,14.0,6.0,99.54,8,17.0
2019-08-07 18:00,22.4,20.8,91.0,18.0,7.0,99.53,8,18.0
2019-08-07 19:00,22.2,19.9,87.0,14.0,6.0,99.53,8,19.0
2019-08-07 20:00,21.3,20.1,93.0,19.0,7.0,99.57,8,20.0
2019-08-07 21:00,21.1,21.1,100.0,23.0,9.0,99.58,8,21.0
2019-08-07 22:00,20.2,20.2,100.0,24.0,4.0,99.52,8,22.0
2019-08-07 23:00,21.1,21.1,100.0,26.0,9.0,99.49,8,23.0
2019-08-08 00:00,21.2,21.2,100.0,25.0,8.0,99.48,8,0.0
2019-08-08 01:00,21.3,21.2,100.0,21.0,9.0,99.43,8,1.0
2019-08-08 02:00,21.6,21.6,100.0,25.0,12.0,99.37,8,2.0
2019-08-08 03:00,20.7,20.7,100.0,25.0,13.0,99.39,8,3.0
2019-08-08 04:00,18.8,18.8,100.0,28.0,8.0,99.38,8,4.0
2019-08-08 05:00,18.3,17.8,97.0,25.0,8.0,99.37,8,5.0
2019-08-08 06:00,18.6,18.0,96.0,26.0,7.0,99.37,8,6.0
2019-08-08 07:00,20.5,17.1,81.0,25.0,8.0,99.36,8,7.0
2019-08-08 08:00,21.7,15.2,66.0,24.0,11.0,99.36,8,8.0
2019-08-08 09:00,22.9,16.7,68.0,23.0,9.0,99.31,8,9.0
2019-08-08 10:00,23.3,14.1,56.0,17.0,13.0,99.26,8,10.0
2019-08-08 11:00,25.2,22.5,85.0,18.0,21.0,99.23,8,11.0
2019-08-08 12:00,24.4,20.0,76.0,19.0,28.0,99.14,8,12.0
2019-08-08 13:00,23.7,21.8,89.0,19.0,28.0,99.14,8,13.0
2019-08-08 14:00,19.8,19.8,100.0,25.0,23.0,99.2,8,14.0
2019-08-08 15:00,21.2,21.2,100.0,25.0,16.0,99.16,8,15.0
2019-08-08 16:00,22.1,20.9,93.0,24.0,23.0,99.13,8,16.0
2019-08-08 17:00,22.4,21.4,94.0,23.0,18.0,99.15,8,17.0
2019-08-08 18:00,22.9,21.4,91.0,23.0,15.0,99.16,8,18.0
