MD,CALI,DEN_QI_EDIT,DT_QI_EDIT,GR,RT,IGR,VSH,porosity
7059,16.52483,2.165106,105.9033,26.53223,113.112,0.045540462,0.010282797,0.318651462
7059.5,16.29588,2.170978,108.3019,24.98715,115.2094,0.037778705,0.008444256,0.315217544
7060,15.61246,2.188594,108.4995,31.05797,119.5179,0.068275653,0.015883599,0.304915789
7060.5,16.62276,2.188594,107.4484,28.77507,123.2515,0.056807436,0.013017598,0.304915789
7061,16.427,2.188594,107.2008,28.864,122.8385,0.057254179,0.013127672,0.304915789
7061.5,16.68709,2.18419,109.3479,30.06872,126.8746,0.063306126,0.014631318,0.307491228
7062,15.9706,2.179786,108.0967,29.97655,129.2337,0.062843107,0.014515451,0.310066667
7062.5,15.93859,2.179786,107.0981,32.2192,129.571,0.074109127,0.017374097,0.310066667
7063,16.03764,2.179786,109.1038,35.17673,127.1451,0.088966368,0.021272506,0.310066667
7063.5,16.88559,2.179786,108.6024,36.86111,118.5377,0.097427902,0.023560036,0.310066667
7064,17.50333,2.179786,110.7989,29.99379,111.2397,0.062929713,0.014537113,0.310066667
7064.5,17.53592,2.197402,110.1961,31.28023,110.1689,0.069392183,0.016167158,0.299764912
7065,18.476,2.197402,107.2449,32.35781,110.0598,0.074805439,0.017553505,0.299764912
7065.5,17.72594,2.182722,106.4998,32.39182,108.0969,0.074976289,0.017597574,0.308349708
7066,17.04294,2.17685,107.106,34.70826,108.0637,0.086612995,0.020645058,0.311783626
7066.5,17.17386,2.170978,108.6795,39.11934,103.3102,0.108772189,0.026705841,0.315217544
7067,15.87196,2.166574,108.6795,39.83322,96.37607,0.112358387,0.027719495,0.317792982
7067.5,16.49117,2.162169,109.5603,47.63784,92.46065,0.151565131,0.039431452,0.320369006
7068,15.74296,2.162169,109.5603,50.25582,92.41718,0.164716633,0.043631365,0.320369006
7068.5,15.93892,2.162169,109.5603,44.26613,96.97694,0.134627244,0.034226931,0.320369006
7069,15.90378,2.162169,109.5603,35.59753,110.4566,0.09108027,0.021839345,0.320369006
7069.5,13.88271,2.162169,109.5603,32.99137,143.4762,0.077988146,0.018377633,0.320369006
7070,13.36195,2.179786,109.5603,21.67032,179.4766,0.02111651,0.004618919,0.310066667
7070.5,12.67969,2.188594,110.4411,22.53279,232.1186,0.025449154,0.005597943,0.304915789
7071,12.48587,2.188594,110.4411,23.34722,344.662,0.029540468,0.006532475,0.304915789
7071.5,12.38929,2.188594,110.4411,22.11191,474.9933,0.02333485,0.005118827,0.304915789
7072,12.52062,2.188594,110.4411,21.2157,538.1055,0.018832712,0.004107224,0.304915789
7072.5,12.74766,2.206211,110.4411,21.59384,876.3898,0.02073231,0.004532628,0.29461345
7073,12.38807,2.206211,109.5603,23.89697,488.8446,0.032302153,0.007168861,0.29461345
