2019-04-19 07:04:37,"Sulya, India",0,0,"SAMSUNG GALAXY J8 Mobile Back Cover
Material: Plastic

Size: Exact Fit to Mobile 

Description: It Has 1 Piece Of S… https://t.co/ytUKF94mK3","[[[74.050963, 11.582378], [78.588295, 11.582378], [78.588295, 18.476736], [74.050963, 18.476736]]]","Karnataka, India",India,IN,admin

2019-04-19 07:04:06,"Sulya, India",0,0,"SAMSUNG GALAXY J8 Mobile Back Cover
Material: Plastic

Size: Exact Fit to Mobile 

Description: It Has 1 Piece Of S… https://t.co/LMUJXeR9qX","[[[74.050963, 11.582378], [78.588295, 11.582378], [78.588295, 18.476736], [74.050963, 18.476736]]]","Karnataka, India",India,IN,admin

2019-04-19 07:03:39,"Sulya, India",0,0,"SAMSUNG GALAXY J8 Mobile Back Cover
Material: Plastic

Size: Exact Fit to Mobile 

Description: It Has 1 Piece Of S… https://t.co/mDiMcYyFT9","[[[74.050963, 11.582378], [78.588295, 11.582378], [78.588295, 18.476736], [74.050963, 18.476736]]]","Karnataka, India",India,IN,admin

2019-04-19 07:03:05,"Sulya, India",0,0,"SAMSUNG GALAXY J8 Mobile Back Cover
Material: Plastic

Size: Exact Fit to Mobile 

Description: It Has 1 Piece Of S… https://t.co/sZCCQEI5jr","[[[74.050963, 11.582378], [78.588295, 11.582378], [78.588295, 18.476736], [74.050963, 18.476736]]]","Karnataka, India",India,IN,admin

2019-04-19 07:02:31,"Sulya, India",0,0,"SAMSUNG GALAXY J8 Mobile Back Cover
Material: Plastic

Size: Exact Fit to Mobile 

Description: It Has 1 Piece Of S… https://t.co/x4BCLX3VkZ","[[[74.050963, 11.582378], [78.588295, 11.582378], [78.588295, 18.476736], [74.050963, 18.476736]]]","Karnataka, India",India,IN,admin

2019-04-19 07:00:51,"Saccolongo, Veneto",53,158,Samsung's curved 4K TV is on sale for half off — save $720 at Walmart https://t.co/3xgdcEf7jl via @mashable,"[[[11.651027, 45.3160888], [11.768241, 45.3160888], [11.768241, 45.395359], [11.651027, 45.395359]]]","Teolo, Veneto",Italy,IT,city

2019-04-19 06:58:41,Lagos; southwest Nigeria ,2139,2305,@trending_medic Blackberry devices were not selling with the competition from iPhone and Samsung Android phones. Th… https://t.co/HfJQEdMxzu,"[[[3.198942, 6.4826762], [3.43719, 6.4826762], [3.43719, 6.6985461], [3.198942, 6.6985461]]]","Ikeja, Nigeria",Nigeria,NG,city

2019-04-19 06:56:06,𝙽𝚊𝚒𝚛𝚘𝚋𝚒,6403,959,@droid254 @jereoffishal @KibikuJnr Isn't that the Samsung Galaxy Fit?,"[[[33.9105011, -4.7672356], [41.8998666, -4.7672356], [41.8998666, 4.631608], [33.9105011, 4.631608]]]",Kenya,Kenya,KE,country

